索引,中文,英文
Key,Chinese,English
File,文件,File
New,新建,New
Open,打开,Open
Close,关闭,Close
Save,保存,Save
SaveAs,另存为,Save as
Exist,退出,Exist
Edit,编辑,Edit
Undo,撤销,Undo
Redo,重复,Redo
Select,选择,Select
Move,移动,Move
Rolate,旋转,Rolate
Scale,缩放,Scale
View,视图,View
Scene,场景,Scene
Terrain,地形,Terrain
TerrainNew,创建,New
Game,游戏,Game
PlayInEditor,编辑器中播放,PlayInEditor
Play,播放,Play
PlayConfig,播放配置,PlayConfig
Help,帮助,Help
PreView,预览,PreView
Asserts,资源,Asserts
Inspector,属性,Inspector
AddActor,添加角色,Add Actor
AddActorModel,模型,Model
AddActorEffect,特效,Effect
AddActorLight,灯光,Light
AddActorLightPoint,点光源,PointLight
AddActorLightSpot,聚光灯,SpotLight
Clone,复制,Clone
CloneInstance,共享,Shallow
CloneData,克隆,Deep
Tip0,警告,Warning
Tip1,请选择模型,Please select a model.
Create,创建,Create
Box,正方体,Box
Sphere,球,Sphere
Name,名称,Name
Trans,方位,Trans
Translate,位置,Translate
Rolate,旋转,Rolate
Scale,缩放,Scale
General,基础,General
Type,类型,Type
Brush,画刷,Brush
High,高程,High
Material,材质,Material
ShowPageLine,显示网格,ShowPageLine
TerrainEdit,地形编辑,TerrainEdit
